name,date,open,high,low,close,volume
AAPL,9/12/2017,162.61,163.96,158.77,160.86,71714046
AAPL,9/13/2017,159.87,159.96,157.91,159.65,44907361
AAPL,9/14/2017,158.99,159.4,158.09,158.28,23760749
AAPL,9/15/2017,158.47,160.97,158,159.88,49114602
AAPL,9/18/2017,160.11,160.5,157.995,158.67,28269435
AAPL,9/19/2017,159.51,159.77,158.44,158.73,20810632
AAPL,9/20/2017,157.9,158.26,153.83,156.07,52951364
AAPL,9/21/2017,155.8,155.8,152.75,153.39,37511661
AAPL,9/22/2017,152.02,152.27,150.56,151.89,46645443
AAPL,9/25/2017,149.99,151.83,149.16,150.55,44387336
AAPL,9/26/2017,151.78,153.92,151.69,153.14,36660045
AAPL,9/27/2017,153.8,154.7189,153.54,154.23,25504227
AAPL,9/28/2017,153.89,154.28,152.7,153.28,22005455
AAPL,9/29/2017,153.21,154.13,152,154.12,26299810
AAPL,10/2/2017,154.26,154.45,152.72,153.81,18698842
AAPL,10/3/2017,154.01,155.09,153.91,154.48,16230293
AAPL,10/4/2017,153.63,153.86,152.46,153.48,20163750
AAPL,10/5/2017,154.18,155.44,154.05,155.39,21283769
AAPL,10/6/2017,154.97,155.49,154.56,155.3,17407558
AAPL,10/9/2017,155.81,156.73,155.485,155.84,16262923
AAPL,10/10/2017,156.055,158,155.1,155.9,15617014
AAPL,10/11/2017,155.97,156.98,155.75,156.55,16905640
AAPL,10/12/2017,156.35,157.37,155.7299,156,16125054
AAPL,10/13/2017,156.73,157.28,156.41,156.99,16394188
AAPL,10/16/2017,157.9,160,157.65,159.88,24121452
AAPL,10/17/2017,159.78,160.87,159.23,160.47,18997275
AAPL,10/18/2017,160.42,160.71,159.6,159.76,16374164
AAPL,10/19/2017,156.75,157.08,155.02,155.98,42584166
AAPL,10/20/2017,156.61,157.75,155.96,156.25,23974146
AAPL,10/23/2017,156.89,157.69,155.5,156.17,21984327
AAPL,10/24/2017,156.29,157.42,156.2,157.1,17757230
AAPL,10/25/2017,156.91,157.55,155.27,156.41,21207098
AAPL,10/26/2017,157.23,157.8295,156.78,157.41,17000469
AAPL,10/27/2017,159.29,163.6,158.7,163.05,44454160
AAPL,10/30/2017,163.89,168.07,163.72,166.72,44700772
AAPL,10/31/2017,167.9,169.6499,166.94,169.04,36046828
AAPL,11/1/2017,169.87,169.94,165.61,166.89,33637762
AAPL,11/2/2017,167.64,168.5,165.28,168.11,41393373
AAPL,11/3/2017,174,174.26,171.12,172.5,59398631
AAPL,11/6/2017,172.365,174.99,171.72,174.25,35026306
AAPL,11/7/2017,173.91,175.25,173.6,174.81,24361485
AAPL,11/8/2017,174.66,176.24,174.33,176.24,24409527
AAPL,11/9/2017,175.11,176.095,173.14,175.88,29185668
AAPL,11/10/2017,175.11,175.38,174.27,174.67,25145500
AAPL,11/13/2017,173.5,174.5,173.4,173.97,16982080
AAPL,11/14/2017,173.04,173.48,171.18,171.34,24782487
AAPL,11/15/2017,169.97,170.3197,168.38,169.08,29158070
AAPL,11/16/2017,171.18,171.87,170.3,171.1,23637484
AAPL,11/17/2017,171.04,171.39,169.64,170.15,21899544
AAPL,11/20/2017,170.29,170.56,169.56,169.98,16262447
AAPL,11/21/2017,170.78,173.7,170.78,173.14,25131295
AAPL,11/22/2017,173.36,175,173.05,174.96,25588925
AAPL,11/24/2017,175.1,175.5,174.6459,174.97,14026673
AAPL,11/27/2017,175.05,175.08,173.34,174.09,20716802
AAPL,11/28/2017,174.3,174.87,171.86,173.07,26428802
AAPL,11/29/2017,172.63,172.92,167.16,169.48,41666364
AAPL,11/30/2017,170.43,172.14,168.44,171.85,41527218
AAPL,12/1/2017,169.95,171.67,168.5,171.05,39759288
AAPL,12/4/2017,172.48,172.62,169.63,169.8,32542385
AAPL,12/5/2017,169.06,171.52,168.4,169.64,27350154
AAPL,12/6/2017,167.5,170.2047,166.46,169.01,28560000
AAPL,12/7/2017,169.03,170.44,168.91,169.32,25673308
AAPL,12/8/2017,170.49,171,168.82,169.37,23355231
AAPL,12/11/2017,169.2,172.89,168.79,172.67,35273759
AAPL,12/12/2017,172.15,172.39,171.461,171.7,19409230
AAPL,12/13/2017,172.5,173.54,172,172.27,23818447
AAPL,12/14/2017,172.4,173.13,171.65,172.22,20476541
AAPL,12/15/2017,173.63,174.17,172.46,173.97,40169307
