Name,Date,Open,High,Low,Close,Adj Close,Volume
GME,2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000
GME,2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400
GME,2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600
GME,2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600
GME,2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800
GME,2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700
GME,2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700
GME,2020-10-14,12.67,12.68,12.05,12.25,12.25,10761400
GME,2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800
GME,2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600
GME,2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100
GME,2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000
GME,2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900
GME,2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200
GME,2020-10-23,15.05,15.38,14.55,15,15,6507300
GME,2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300
GME,2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000
GME,2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600
GME,2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800
GME,2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900
GME,2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000
GME,2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500
GME,2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900
GME,2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200
GME,2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200
GME,2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900
GME,2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000
GME,2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600
GME,2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300
GME,2020-11-13,11.36,11.55,11,11.01,11.01,3535900
GME,2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800
GME,2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200
GME,2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200
GME,2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600
GME,2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400
GME,2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100
GME,2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200
GME,2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100
GME,2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200
GME,2020-11-30,18.17,19.42,16.559999,16.559999,16.559999,31983500
GME,2020-12-01,17.110001,17.4,15.76,15.8,15.8,12653900
GME,2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400
GME,2020-12-03,16.48,16.639999,15.87,16.120001,16.120001,6295000
GME,2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700
GME,2020-12-07,17,17.5,16.219999,16.35,16.35,7386300
GME,2020-12-08,16.370001,17.209999,15.93,16.940001,16.940001,16120200
GME,2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900
GME,2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900
GME,2020-12-11,13.91,14,13.02,13.31,13.31,7496900
GME,2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100
GME,2020-12-15,12.78,14.02,12.48,13.85,13.85,8189800
GME,2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100
GME,2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900
GME,2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800
GME,2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100
GME,2020-12-22,16.219999,20.040001,16.15,19.459999,19.459999,30652700
GME,2020-12-23,20.17,22.35,19.129999,20.57,20.57,25830300
GME,2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200
GME,2020-12-28,21.309999,21.969999,20.35,20.99,20.99,8965900
GME,2020-12-29,20.82,21.07,18.559999,19.379999,19.379999,9241400
GME,2020-12-30,19.379999,20,18.85,19.26,19.26,5934400
GME,2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6922700
